 ,Check Number,Description,Location,Amount,,Category,Comment,,,Category
8/31/2016,,TELLER WITHDRAWAL,,-250,,Cash Wage,Bonus for Austin,,,Income
8/30/2016,,Square Inc 160830P2 083016,ACH Electronic Credit,"1,482.36",,Income,Square Deposit. 8/28,,,Bookkeeping
8/30/2016,,CHASE EPAY 0830162754137245,OTHER DECREASE,-70.28,,Food Cost,Paid to Kenneth's personal account,,,Rent - retail
8/30/2016,10013,CRYSTAL SPRINGS MUSICH LP,Reference# 10013,-808.57,,Rent - storage,September 2016,,,Rent - storage
8/29/2016,,Square Inc 160829P2 082916,ACH Electronic Credit,"1,629.94",,Income,Income,,,Cash Wage
8/29/2016,,Square Inc 160829P2 082916,ACH Electronic Credit,781.26,,Income,Income,,,Food Cost
8/29/2016,,Square Inc 160827P2 082916,ACH Electronic Credit,638.21,,Income,,,,Tax
8/29/2016,,TELLER DEPOSIT Aug 27 23:46,"1073EL CAMINORL, RDWD CTY, CA",229,,Income,8/27 Cash,,,Payroll
8/29/2016,,TELLER DEPOSIT Aug 27 23:45,"1073EL CAMINORL, RDWD CTY, CA",188,,Income,8/26 Cash,,,Lawyer James
8/29/2016,,TELLER DEPOSIT Aug 27 23:44,"1073EL CAMINORL, RDWD CTY, CA",180,,Income,8/25 Cash,,,POS Fees
8/29/2016,,TELLER DEPOSIT Aug 27 23:47,"1073EL CAMINORL, RDWD CTY, CA",94,,Income,8/24 Cash,,,Meal & Entertainment
8/29/2016,,TELLER DEPOSIT Aug 27 23:43,"1073EL CAMINORL, RDWD CTY, CA",89,,Income,8/23 Cash,,,Office Supplies
8/29/2016,,DEBIT PIN PURCHASE,TRADER JOE'S # 174 SAN CARLOS CAUS0515,-3.99,,Food Cost,,,,Refund
8/29/2016,10006,KOMKIT CHOLAWAT,Reference# 10006,-280,,Bookkeeping,August 2016,,,Transfer to Savings
8/29/2016,10007,CRYSTAL SPRINGS MUSICH LP,Reference# 10007,"-1,601.51",,Rent - retail,September 2016,,,One Time
8/26/2016,,Square Inc 160826P2 082616,ACH Electronic Credit,841.1,,Income,,,,Ice Cream
8/25/2016,,Square Inc 160825P2 082516,ACH Electronic Credit,737.13,,Income,,,,Transfer from Savings
8/24/2016,,TELLER WITHDRAWAL,,-190,,Cash Wage,Payroll. August P1. Austin.,,,Credit Card Payment
8/24/2016,10009,CRYSTAL SPRINGS MUSICH LP,Reference# 10009,-808.57,,Rent - storage. August 2016,,,,Bank Fee
8/23/2016,,Square Inc 160823P2 082316,ACH Electronic Credit,"1,011.10",,Income,,,,Internet
8/23/2016,,CHASE EPAY 0823162746300501,OTHER DECREASE,-567,,Food Cost,Paid to Kenneth's personal account,,,Advertising and Promotion
8/23/2016,,Not available,Citibank ATM Withdrawal,"-1,000.00",,Cash Wage,August P1. $330 to Nid. $$272 to Arthur. $48 to Zulhumar. $350 to Austin,,Income Total:,28573.83
8/22/2016,,Square Inc 160822P2 082216,ACH Electronic Credit,"1,240.72",,Income,,,Food Cost Total:,-5082.78
8/22/2016,,Square Inc 160822P2 082216,ACH Electronic Credit,777.08,,Income,,,Cash Wage Total:,-4440
8/22/2016,,TELLER DEPOSIT Aug 20 01:22,"250 UNIVERS AV, PALO ALTO, CA",272,,Income,,,Website Total:,-133.6
8/22/2016,,TELLER DEPOSIT Aug 20 01:23,"250 UNIVERS AV, PALO ALTO, CA",262,,Income,,,,
8/22/2016,,Square Inc 160820P2 082216,ACH Electronic Credit,223.01,,Income,,,,
8/22/2016,,TELLER DEPOSIT Aug 20 01:25,"250 UNIVERS AV, PALO ALTO, CA",220,,Income,,,,
8/22/2016,,TELLER DEPOSIT Aug 20 01:26,"250 UNIVERS AV, PALO ALTO, CA",220,,Income,,,,
8/22/2016,,TELLER DEPOSIT Aug 20 01:19,"250 UNIVERS AV, PALO ALTO, CA",173,,Income,,,,
8/22/2016,,TELLER DEPOSIT Aug 20 01:20,"250 UNIVERS AV, PALO ALTO, CA",150,,Income,,,,
8/22/2016,,TELLER DEPOSIT Aug 20 01:20,"250 UNIVERS AV, PALO ALTO, CA",103,,Income,,,,
8/22/2016,,TELLER DEPOSIT Aug 20 01:21,"250 UNIVERS AV, PALO ALTO, CA",78,,Income,,,,
8/22/2016,,TELLER DEPOSIT Aug 20 01:19,"250 UNIVERS AV, PALO ALTO, CA",70,,Income,,,,
8/22/2016,,DEBIT PIN PURCHASE,SAFEWAY STORE 0639 SAN MATEO CAUS0215,-10.9,,Food Cost,,,,
8/22/2016,131,CHECK 131,,-471.56,,Food Cost,Paid to Richard's personal account,,,
8/22/2016,10000,CHASE MASTERCARD & VISA,Reference# 10000,-490,,Food Cost,Paid to Kenneth's personal account,,,
8/19/2016,,Square Inc 160819P2 081916,ACH Electronic Credit,655.04,,Income,Square Deposit. 8/17,,,
8/19/2016,,DEBIT PIN PURCHASE,COSTCO WHSE #1042 REDWOOD CITY CAUS0215,-17.14,,Food Cost,,,,
8/17/2016,,BANKCARD DEPOSITSETTLEMENT081716,ACH Electronic Credit,761.37,,Income,,,,
8/17/2016,,IRS USATAXPYMT0817162276630660715,OTHER DECREASE,-16.17,,Tax,August P1,,,
8/17/2016,130,CHECK 130,,-328.16,,One Time,"iPad for the store. Paid to Wipawe Sirikolkarn, our friend who worked at Apple",,,
8/17/2016,,IRS USATAXPYMT0817162276630660715,OTHER DECREASE,-547.99,,Tax,August P1,,,
8/16/2016,1458,DEPOSIT,ONLINE Reference # 001458,"6,000.00",,Transfer from Savings,,,,
8/16/2016,,DEBIT PURCHASE Aug 13 5372,MENEGONS ACE HDWE SOUH LAKE TA CA 16228,-2.69,,Office Supplies,For making dupe key for store,,,
8/16/2016,,Payroll Tax 0816167312012,OTHER DECREASE,-38.58,,Tax,August P1,,,
8/16/2016,,Payroll PAYROLL 0816167312012,OTHER DECREASE,-81.21,,Net Wage,Payroll. August P1. Lauren. Direct Deposit,,,
8/16/2016,,Payroll Tax 0816167312012,OTHER DECREASE,-94.35,,Tax,August P1,,,
8/16/2016,,Payroll PAYROLL 0816167312012,OTHER DECREASE,-285.68,,Net Wage,Payroll. August P1. Nid. Direct Deposit,,,
8/16/2016,,Payroll PAYROLL 0816167312012,OTHER DECREASE,-314.63,,Net Wage,Payroll. August P1. Vincent. Direct Deposit,,,
8/16/2016,,Payroll PAYROLL 0816167312012,OTHER DECREASE,-653.99,,Net Wage,Payroll. August P1. Enrique. Direct Deposit,,,
8/16/2016,,Payroll PAYROLL 0816167312012,OTHER DECREASE,-979.64,,Net Wage,Payroll. August P1. Austin. Direct Deposit,,,
8/15/2016,,BANKCARD DEPOSITSETTLEMENT081516,ACH Electronic Credit,"1,413.24",,Income,,,,
8/15/2016,,BANKCARD DEPOSITSETTLEMENT081516,ACH Electronic Credit,"1,187.66",,Income,,,,
8/15/2016,,BANKCARD DEPOSITSETTLEMENT081516,ACH Electronic Credit,605.22,,Income,,,,
8/15/2016,,TELLER DEPOSIT Aug 14 14:04,"1073EL CAMINORL, RDWD CTY, CA",197,,Income,,,,
8/15/2016,,TELLER DEPOSIT Aug 14 14:04,"1073EL CAMINORL, RDWD CTY, CA",128,,Income,,,,
8/15/2016,,TELLER DEPOSIT Aug 14 14:03,"1073EL CAMINORL, RDWD CTY, CA",42,,Income,,,,
8/15/2016,,TELLER DEPOSIT Aug 14 14:01,"1073EL CAMINORL, RDWD CTY, CA",24,,Income,,,,
8/15/2016,,DEBIT PIN PURCHASE,SAFEWAY STORE 0639 SAN MATEO CAUS0215,-1.8,,Food Cost,,,,
8/15/2016,,OTHER DECREASE,,-50,,POS Fees,"POS to X, the Thai guy",,,
8/15/2016,,Not available,Citibank ATM Withdrawal,"-1,000.00",,Payroll,Payroll. August P1. Enrique. Cash,,,
8/15/2016,147,ONLINE Reference # 000147,OTHER DECREASE,"-4,996.65",,Transfer to Savings,,,,
8/15/2016,7330,CHECK 7330,,"-5,057.65",,Credit Card payment,,,,
8/12/2016,,BANKCARD DEPOSITSETTLEMENT081216,ACH Electronic Credit,871.72,,Income,,,,
8/11/2016,,BANKCARD DEPOSITSETTLEMENT081116,ACH Electronic Credit,683.78,,Income,,,,
8/10/2016,,BANKCARD DEPOSITSETTLEMENT081016,ACH Electronic Credit,"1,569.43",,Income,,,,
8/9/2016,,SERVICE CHARGE,ACCT ANALYSIS DIRECT DB,-20,,Bank Fee,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:15,"250 UNIVERS AV, PALO ALTO, CA","1,086.00",,Income,,,,
8/8/2016,,BANKCARD DEPOSITSETTLEMENT080816,ACH Electronic Credit,880.97,,Income,,,,
8/8/2016,,BANKCARD DEPOSITSETTLEMENT080816,ACH Electronic Credit,431.24,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:12,"250 UNIVERS AV, PALO ALTO, CA",294,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:14,"250 UNIVERS AV, PALO ALTO, CA",271,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:10,"250 UNIVERS AV, PALO ALTO, CA",242,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:08,"250 UNIVERS AV, PALO ALTO, CA",160,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:06,"250 UNIVERS AV, PALO ALTO, CA",132,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:11,"250 UNIVERS AV, PALO ALTO, CA",119,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:07,"250 UNIVERS AV, PALO ALTO, CA",112,,Income,,,,
8/8/2016,,TELLER DEPOSIT Aug 06 02:09,"250 UNIVERS AV, PALO ALTO, CA",100,,Income,,,,
